,0,1,2,3,4,5,6,7
[ 0.  0.  0. 10.  1.  0.  0.  0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0.  0.  1. 10.  1.  0.  0.  0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 0.  0.  0. 10.  1.  0.  1.  0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 9. 1. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 9. 0. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 8. 0. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 8. 0. 0. 1. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 8. 0. 0. 0. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 8. 1. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 0. 0. 8. 1. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 0. 0. 7. 0. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 0. 0. 6. 0. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 0. 0. 4. 0. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 0. 0. 2. 0. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 0. 0. 1. 0. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 0. 0. 0. 0. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 0. 0. 0. 1. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 0. 0. 0. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 0. 1. 0. 0. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 0. 2. 0. 0. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 1. 1. 0. 0. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 1. 0. 0. 1. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 0. 0. 1. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
