,0,1,2,3,4,5,6,7
[1. 2. 2. 3. 0. 1. 0. 0. 1. 1. 0. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 3. 0. 1. 0. 0. 1. 1. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 3. 0. 0. 0. 0. 1. 1. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 3. 0. 0. 1. 0. 1. 1. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 3. 0. 0. 0. 0. 1. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 3. 0. 0. 0. 0. 1. 1. 0. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 3. 0. 0. 0. 1. 1. 1. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 2. 0. 0. 1. 1. 1. 0. 0. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 2. 0. 0. 1. 0. 1. 0. 0. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 1. 0. 0. 1. 0. 1. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 1. 1. 1. 0. 0. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 2. 2. 0. 1. 0. 0. 0. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 1. 2. 0. 1. 0. 0. 0. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 2. 0. 1. 0. 0. 0. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 1. 0. 0. 0. 0. 1. 0. 0. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 2. 0. 1. 0. 0. 1. 1. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 2. 0. 1. 0. 0. 1. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 4. 0. 0. 0. 0. 1. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 4. 1. 0. 0. 0. 1. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 4. 1. 0. 1. 0. 1. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 4. 0. 1. 1. 0. 1. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 4. 0. 1. 1. 0. 1. 0. 0. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 4. 0. 0. 0. 1. 1. 0. 0. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 4. 1. 0. 0. 0. 1. 1. 0. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 4. 0. 0. 0. 1. 1. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 4. 0. 0. 1. 0. 1. 1. 0. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 4. 1. 0. 1. 0. 1. 1. 0. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 4. 1. 0. 1. 0. 1. 1. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 4. 1. 0. 1. 0. 1. 0. 1. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 4. 1. 0. 0. 0. 1. 0. 1. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 3. 1. 0. 1. 0. 1. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 3. 0. 0. 0. 1. 1. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 3. 0. 0. 1. 1. 1. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 1. 0. 0. 1. 1. 1. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 0. 0. 0. 1. 1. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 0. 0. 0. 0. 1. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 0. 1. 0. 0. 1. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 1. 0. 1. 0. 0. 1. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 1. 1. 1. 0. 0. 1. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 1. 2. 1. 0. 0. 1. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 2. 1. 0. 1. 0. 0. 1. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 2. 0. 0. 1. 0. 0. 1. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 1. 0. 0. 1. 0. 0. 1. 1. 0. 0. 0.],-0.01,-0.01,0.0,0.0,0.0,0.0,0.0,0.0
[0. 1. 1. 0. 1. 0. 0. 1. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 1. 1. 1. 0. 0. 1. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 3. 0. 1. 0. 1. 1. 1. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 3. 0. 0. 0. 1. 1. 1. 1. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 2. 0. 0. 0. 1. 1. 1. 0. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 1. 0. 0. 0. 1. 1. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 1. 0. 0. 0. 1. 1. 0. 0. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 3. 1. 1. 0. 0. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 2. 1. 1. 0. 0. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 3. 0. 0. 0. 1. 1. 1. 0. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 2. 0. 0. 0. 1. 1. 0. 0. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 2. 0. 0. 1. 0. 1. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 2. 0. 0. 0. 0. 1. 0. 0. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 2. 0. 0. 0. 1. 1. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 2. 0. 0. 1. 0. 1. 1. 0. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 2. 0. 0. 1. 1. 1. 0. 1. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 0. 1. 0. 1. 0. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 1. 0. 0. 1. 0. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 1. 1. 0. 1. 0. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 1. 0. 1. 1. 0. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 1. 0. 0. 1. 0. 1. 0. 0. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 2. 0. 0. 1. 0. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 1. 0. 1. 0. 1. 0. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 2. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0.],-0.01913517247483641,-0.01877521022998968,-0.01,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 4. 0. 0. 0. 0. 1. 0. 0. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 4. 0. 0. 0. 1. 1. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 4. 0. 0. 0. 1. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 5. 0. 0. 0. 0. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 5. 0. 0. 1. 0. 1. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 5. 0. 0. 1. 0. 1. 0. 1. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 5. 0. 0. 0. 0. 1. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 5. 0. 0. 0. 1. 1. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 5. 0. 0. 0. 1. 1. 0. 1. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 4. 0. 1. 0. 0. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 4. 1. 0. 0. 0. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 4. 0. 0. 1. 0. 1. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 4. 0. 0. 1. 0. 1. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 3. 0. 0. 0. 1. 1. 0. 1. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 1. 1. 0. 0. 1. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 1. 1. 1. 0. 1. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 1. 0. 0. 0. 1. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 1. 0. 1. 0. 1. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 1. 0. 1. 0. 1. 1. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 0. 0. 1. 1. 1. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 0. 1. 0. 1. 1. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 1. 0. 0. 1. 1. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 1. 1. 0. 1. 1. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 2. 0. 0. 1. 1. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 2. 1. 0. 1. 1. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 2. 1. 0. 1. 1. 1. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 2. 0. 0. 1. 1. 1. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 1. 0. 0. 1. 1. 1. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 1. 0. 1. 1. 1. 1. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 1. 1. 0. 1. 1. 1. 0. 0. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 1. 0. 0. 1. 1. 1. 0. 0. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 1. 1. 1. 1. 1. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 0. 1. 1. 1. 1. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 1. 0. 1. 0. 1. 1. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 2. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 1. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0.],-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 3. 0. 0. 1. 0. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 5. 1. 0. 0. 0. 1. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 3. 1. 0. 0. 0. 1. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 2. 1. 0. 1. 0. 1. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 2. 0. 0. 0. 0. 1. 1. 0. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 2. 0. 1. 1. 0. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 2. 1. 1. 1. 0. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 2. 1. 0. 1. 0. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 2. 1. 0. 1. 0. 1. 0. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 1. 1. 0. 1. 0. 1. 0. 1. 0. 0. 0.],-0.0096059601,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 0.],-0.026880295325982746,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 3. 0. 1. 0. 0. 1. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 3. 0. 0. 0. 0. 1. 0. 1. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 3. 0. 0. 1. 1. 1. 0. 1. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 2. 0. 0. 0. 1. 1. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 0. 0. 0. 0. 1. 1. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 0. 0. 1. 1. 0. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 1. 1. 1. 1. 0. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 1. 1. 1. 0. 1. 0. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 2. 0. 0. 1. 0. 1. 0. 1. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 2. 1. 1. 0. 0. 1. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 2. 1. 0. 0. 1. 1. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 2. 1. 0. 1. 0. 1. 1. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 2. 1. 0. 1. 0. 1. 0. 0. 1.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 2. 1. 1. 0. 1. 0. 1. 0. 1. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[1. 2. 1. 2. 1. 0. 0. 0. 1. 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
